Sr No,Insurance Company,Base Plan Name,Unique Selling Point (USP)
9,Reliance Health Insurance,Health Gain,Double SI for same claim; Chronic Shield covers Asthma/DM/BP from Day 31; Guaranteed CB doesn't reduce on claims 
10,Magma Hdi,Support,Unlimited sum insured recharge; Annual check-up; Cumulative bonus does not reduce on claim 
10,Magma Hdi,Secure Plan,Unlimited SI recharge; Step-up to single private room; Non-reducing cumulative bonus 
10,Magma Hdi,Support Plus,Unlimited SI recharge; No room-rent cap; 100% cumulative bonus build-up 
10,Magma Hdi,Shield,"Worldwide emergency cover add-on; Maternity/IVF benefits; Hospital cash up to 1,000/day"
10,Magma Hdi,Premium,SI up to 3Cr; 33.3% yearly cumulative bonus; OPD and Global emergency cover included; Air ambulance up to 1L 
11,Bajaj Allianz,Health Guard- Gold Plan,Convalescence/child cash upgrade; Maternity for normal and C-section; NCB growth up to 100% 
11,Bajaj Allianz,Health Guard- Platinum Plan,Recharge benefit (extra 1-4L after exhaustion); Super cumulative bonus (50% per year); Highest maternity limits 
11,Bajaj Allianz,Health Guard- Silver Plan,Basic hospitalization includes road ambulance and AYUSH; Preventive check-up and convalescence benefit 
12,Liberty General Insurance,Secure Health Connect- Basic,6-hour claim response guarantee (fixed payout if delayed); Up to 150% cumulative bonus 
12,Liberty General Insurance,Secure Elite,Balanced Stay Fit perks; Higher ambulance limits; Enhanced reload flexibility 
12,Liberty General Insurance,Secure Supreme,Zero co-pay; Longest pre/post-hospitalization (45/160 days); Maximum Stay Fit perks 
12,Liberty General Insurance,Secure Complete,Daily cash allowance for 10 days; Highest cumulative bonus 25% per year up to 100% 
13,SBI General Insurance,Super Health- Elite,Health Multiplier (2x/3x SI for 37 critical ailments); Enhanced Reinsure (unlimited restoration); Staff cover add-on 
13,SBI General Insurance,Premier Plan,ReInsure 100% SI unlimited times; Balanced post-hospitalization (90 days); Health Multiplier for critical illness 
13,SBI General Insurance,Platinum Plan,Enhanced ReInsure (200% SI refill); Air ambulance up to 10L; Maternity up to 2L 
13,SBI General Insurance,Platinum Infinite,"3x Health Multiplier for 37 illnesses; No ECB safeguard needed; Recovery benefit 10,000 lump sum"
14,Aditya Birla,Activ Health Platinum (Enhanced),100% HealthReturns™ (Earn full premium back); Day 1 cover for 7 chronic conditions; Automatic upgrade to Chronic Program if condition develops later 
14,Aditya Birla,Essential Plan,Day 1 cover for 4 chronic conditions; Up to 50% HealthReturns™; Affordable premium with optional co-pay waiver 
14,Aditya Birla,Premier Plan,100% HealthReturns™; International cashless cover for 16 major illnesses up to 6Cr; Unlimited Super Reload for same/unrelated illnesses 
14,Aditya Birla,Activ Health Plus (Enhanced),100% Super Credit irrespective of claims (6x SI growth); 100% HealthReturns™; Claim Protect for 100% non-medical expenses 
14,Aditya Birla,Essential Plus,Waiver of mandatory co-payment inbuilt; Day 1 cover for 4 chronic conditions; Up to 50% HealthReturns™ 
14,Aditya Birla,Premier Plus,100% HealthReturns™; International major illness cover; Any Room upgrade (Suite/Deluxe); Super Credit increase even after a claim
