Classification,Feature,One-liner Explanation,,,,,,,,,,,
Value Added ,Care Management Program,Provides personalised medical coordination services.,,,,,,,,,,,
Value Added ,Medi Voucher,Provides health service vouchers.,,,,,,,,,,,
Value Added ,Money Back,Returns part of premium or sum insured at intervals.,,,,,,,,,,,
Value Added ,Dialysis Cover,Covers dialysis treatment expenses.,,,,,,,,,,,
Value Added ,Home Care,Covers medically supervised treatment and healthcare services provided at home.,,,,,,,,,,,
Value Added ,Expert Option,Option to choose,,,,,,,,,,,
Value Added ,Premium Waiver Benefit,Waives future premiums on specified events.,,,,,,,,,,,
Value Added ,Hospice Care,Covers palliative care for terminal illness.,,,,,,,,,,,
Value Added ,Instalment Premium Option,Allows premium payment in instalments.,,,,,,,,,,,
Waiting Periods,Initial waiting period,Covers after 30 days,,,,,,,,,,,
Waiting Periods,Coverage of Pre-Existing Diseases,Covers pre-existing diseases after a specified waiting period (typically 3 years).,,,,,,,,,,,
Waiting Periods,Specific Illness Waiting Period ,"Covers specified illnesses after a defined waiting period, typically around 2 years.",,,,,,,,,,,
Facts to know,Migration,Allows shifting to another plan within insurer.,,,,,,,,,,,
Facts to know,Portability,Allows policy transfer with continuity benefits.,,,,,,,,,,,
Facts to know,Moratorium Period,No claim denial after 8 continuous years except fraud.,,,,,,,,,,,
Facts to know,No Sub-limits,"Avoids caps on ICU charges, Surgeries, Room category & Modern treatments. Sub-limits drastically reduce claim payouts.",,,,,,,,,,,
Facts to know,Free Look,Allows policy cancellation within free look period.,,,,,,,,,,,
Disease Protection,Jumpstart,Partial coverage for select illnesses from policy inception.,,,,,,,,,,,
Disease Protection,Waiting Period Reduction,Reduces standard waiting periods for select covers.,,,,,,,,,,,
Red Flag,Co-Payment,Percentage of claim amount borne by insured.,,,,,,,,,,,
Red Flag,Mandatory Co-payment,You must pay a fixed percentage of every claim from your own pocket.,,,,,,,,,,,
Red Flag,Room Rent/Sub-limits,Daily room rent caps can trigger proportionate deductions on your entire hospital bill.,,,,,,,,,,,
Red Flag,Suspiciously Low Premiums,Exceptionally cheap plans often hide strict exclusions and high out-of-pocket costs.,,,,,,,,,,,
Core Hospitalisation & Claims,Hassle Free Claims,Simplified and faster claims settlement support.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
