Sr No,Insurance Company,Base Plan Name,Infinite Care,No Sub-limits,Consumables Cover,Inflation Protector,No Claim Bonus,Restoration Benefit,In-patient Hospitalization,Pre-Hospitalization,Post-Hospitalization,Room Rent,ICU Charges,Day Care Treatment,No Claim Bonus,Restoration of Sum Insured,Pre-Existing Waiting Period,Domiciliary Treatment,AYUSH Treatment,Ambulance Cover,Donor Expenses,Health Check-Up,Air Ambulance,Second E-opinion,Claim Protector,Modern Treatments,Surplus/Secure Benefit,Bariatric Surgery,Specific Illness Waiting Period,Automatic Restoration
2,Niva Bupa,ReAssure 2.0 (Gold),Not Applicable,No (Single Room),Included (Safeguard+),Included (Booster+),50% (Max 100%),Unlimited ReAssure (Bucket),Covered up to Sum Insured,60 Days,180 Days,Single Private Room,Covered up to SI,All Day Care covered,50% increase max 100%,Unlimited (Bucket),36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road: SI / Air: 2.5 Lakhs,Covered up to SI,Annual for all members,Available (Add-on),Available (E-opinion),Included up to Sum Insured,Included up to SI,No Surplus,Included up to Sum Insured,24 Months,Included
2,Niva Bupa,ReAssure 2.0 (Bronze),Not Applicable,No (Shared Room),Included (Safeguard+),Included (CPI indexed),50% (Max 100%),Unlimited ReAssure (Bucket),Covered up to Sum Insured,60 Days,180 Days,Shared Accommodation,Covered up to SI,All Procedures included,50% Increase (Max 100%),Unlimited ReAssure Forever,36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road: SI / Air: 2.5 Lakhs,Covered up to SI,Annual for all members,Not Available,Inbuilt consultations,Included Safeguard+,Included,No Surplus,Included up to Sum Insured,24 Months,Included
2,Niva Bupa,Aspire (Gold+),Not Applicable,No (Single Room),Included (Safeguard+),Included (Fast Forward),Renewal Cashback,Booster+ (Up to 10X SI),Covered up to Sum Insured,60 Days,180 Days,Single Private Room,Covered up to SI,All Procedures included,No Claim Bonus carries forward,Unlimited ReAssure Forever,36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road/Air Sum Insured,Covered up to Sum Insured,Annual check-up,Available up to Sum Insured,Inbuilt consultations,Included Safeguard+,Modern Treatments included,M-iracle Cover included,Available up to Sum Insured,24 Months,Unlimited
2,Niva Bupa,Aspire (Diamond+),Not Applicable,Yes (Any room),Included (Safeguard+),Included (Fast Forward),Renewal Cashback,Booster+ (Up to 10X SI),Covered up to Sum Insured,60 Days,180 Days,Any Room category,Covered up to SI,All Procedures included,No Claim Bonus carries forward,Unlimited ReAssure Forever,36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road/Air Sum Insured,Covered up to Sum Insured,Annual check-up,Available up to Sum Insured,Inbuilt consultations,Included Safeguard+,Modern Treatments included,M-iracle Cover included,Available up to Sum Insured,24 Months,Unlimited
2,Niva Bupa,Aspire (Platinum+),Not Applicable,Yes (Any room),Included (Safeguard+),Included (Fast Forward),Renewal Cashback,Booster+ (Up to 10X SI),Covered up to Sum Insured,60 Days,180 Days,Any Room category,Covered up to SI,All Procedures included,No Claim Bonus carries forward,Unlimited ReAssure Forever,36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road/Air Sum Insured,Covered up to Sum Insured,Annual check-up,Available up to Sum Insured,Inbuilt consultations,Included Safeguard+,Modern Treatments included,M-iracle Cover included,Available up to Sum Insured,24 Months,Unlimited
2,Niva Bupa,Aspire (Titanium+),Not Applicable,Yes (Any room),Included (Safeguard+),Included (Fast Forward),Renewal Cashback,Booster+ (Up to 10X SI),Covered up to Sum Insured,60 Days,180 Days,Any Room category,Covered up to SI,All Procedures included,No Claim Bonus carries forward,Unlimited ReAssure Forever,36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road/Air Sum Insured,Covered up to Sum Insured,Annual check-up,Available up to Sum Insured,Inbuilt consultations,Included Safeguard+,Modern Treatments included,M-iracle Cover included,Available up to Sum Insured,24 Months,Unlimited
3,Care Health,Care,Not Applicable,No (Private Single Room),Available (Shield),Available (Shield),Up to 150% SI,Unlimited Restoration,Covered up to Sum Insured,30 Days,60 Days,Single Private Room,No Limit (Actual ICU),540+ procedures covered,Bonus up to 150%,Unlimited Restoration (Any Illness),36 Months,Up to 10% of Sum Insured,Covered up to Sum Insured,Road Ambulance: Actuals,"Up to 3,00,000",Annual for all members,Available up to 5 Lakhs,Once per year,Available (Care Shield Add-on),Advanced Technology Included,No surplus,Excluded,24 Months,Included
3,Care Health,Care Supreme,Not Applicable,No (Private Single Room),Included (Shield),Included (Shield),Up to 150% (NCB Super),Unlimited Automatic Recharge,Covered up to Sum Insured,60 Days,180 Days,Single Private Room,No Limit (Actual ICU),540+ procedures covered,Included (Up to 150%),Unlimited Automatic Recharge,48 Months,Up to 10% of Sum Insured,Covered up to Sum Insured,Road Ambulance: Actuals,Covered up to Sum Insured,Annual Check-up for adults,Available up to Sum Insured,Once per year,Included (Care Shield),Modern Treatments Included,Consumable cover (Shield),Excluded,24 Months,Included
3,Care Health,Care Advantage,Not Applicable,Yes (No Sub-limits),Available (Shield Rider),Available (Shield Rider),Up to 50%,100% Recharge,Covered up to SI (6 Cr limit),60 Days,180 Days,No room rent sub-limits,No limit (Actuals),All procedures covered,10% increase per free yr,100% recharge any illness,36 Months,Covered up to Sum Insured,Covered up to Sum Insured,Actual Road ambulance,Covered up to Sum Insured,Annual Health Check up,Included (up to SI),Unlimited consultations,Included Claim Shield Rider,Modern treatment up to SI,Secure Benefit Available,Included up to 50% SI,24 Months,Included
3,Care Health,Care Senior,Not Applicable,No (Capped),Available (Shield),Not Available,Not Applicable,100% Restoration,Covered up to Sum Insured,30 Days,60 Days,Shared (SI < 7L) / Single (SI > 7L),Covered up to Sum Insured,All Procedures Covered,Not Applicable,100% SI Restoration,24 Months,Up to Sum Insured,Included up to Sum Insured,1000 per hospitalization road,No coverage,Included as standard,Not Available,No Coverage,Inbuilt Safeguard Shield,Included SI dependent,Deductible option available,Not Included,24 Months,Included
3,Care Health,Care Heart,Not Applicable,No (Private Single Room),Available (Shield),Not Available,10% p.a. (Max 50%),100% Automatic Recharge,Covered up to Sum Insured,30 Days,60 Days,Single Private (Sum Insured > 5L),No Limit (> 5L Sum Insured),All day care procedures,10% bonus max 50%,100% Automatic Recharge,24 Months (Heart specific),500-1000 p.d. max 10 days,Covered up to 25% Sum Insured,Road Ambulance up to SI,Not Available,Annual Cardiac Checkup,Not Included,Available,Included Care Shield Rider,Modern Technology Included,Stay active discount up to 8%,Not Covered,24 Months,Yes
3,Care Health,Care Freedom,Not Applicable,No (Private Single Room),Available (Shield),Not Available,10% p.a.,Automatic Recharge,Sum Insured 3L - 10L,Pre-hospital exam covered,30 days after discharge,Single Private Room (Standard AC),Capped per SI grid,540+ Procedures covered,10% Loyalty increase p.a.,Automatic recharge once per year,24 Months (Diabetes/BP),Covered (> 3 days at home),Included up to Sum Insured,1000 Road limit,No coverage,Annual check-up,Not Included,Available (Opinion),Included Protector Rider,Modern Treatments Included,Consumable Allowance,Not Covered,24 Months,Trigger after 1st claim
4,ManipalCigna,ProHealth Prime Protect,Not Applicable,Yes (Any Room),Included,Included (Shield),10% p.a. (Max 100%),Unlimited Restoration,Covered up to Sum Insured,60 Days,180 Days,Single Private AC room,No capping (Actuals),Included up to Sum Insured,10% increase (Max 100%),Unlimited (Related/Unrelated),24 Months (>5L SI) / 36m (<5L SI),Covered up to Sum Insured,Covered up to Sum Insured,Actual road ambulance,Covered up to Sum Insured,Annual Adults,10 Lakh Range domestic,Expert consultations,Included Option,Modern treatments included,Waiver of Premium on CI,Included up to SI,24 Months,Trigger after 1st Claim
4,ManipalCigna,Life Time Health (India),Not Applicable,Yes (Any room),Available (Shield Rider),Available (Shield Rider),15% p.a. (No Capping),100% Restoration,Covered up to Sum Insured,60 Days,180 Days,Any Room category,Actual ICU Charges covered,All procedures included,15% p.a. (No Capping),100% Sum Insured Restoration,24 Months (Any PED),10% of Sum Insured,Covered up to SI (India),Actual Road ambulance costs,Covered up to Sum Insured,Annual check-up,10 Lakh Range global,Global Expert medical advice,Optional Shield cover,Modern treatments included,Worldwide Hosp. cover,Included SI,24 Months,Included
4,ManipalCigna,Sarvah- Uttam Plan,Available (Anant Benefit),Yes (Any Category upgrade),Available (Shield add-on),Available (Shield add-on),Gullak Bonus (100% p.a.),Multiple Restoration,Covered up to Sum Insured,90 Days,180 Days,Any room upgrade covered,No capping (Actuals),All day care procedure included,100% p.a. (Max 1000%),Multiple for related/unrelated,36 Months (Sarathi reduces to 30d),Covered up to Sum Insured,Covered up to SI (AYUSH),Actual road ambulance,Covered up to Sum Insured,Annual from Day 1,10 Lakh Limit Range,Included e-medical opinion,Available Shield add-on,Modern treatments covered,Double Coverage surplus,Included up to SI,24 Months,Included
4,ManipalCigna,Param Plan,Not Applicable,Yes (Single Private room),Included (Standard),Included (Guaranteed Increase),Guaranteed 100% p.a.,Multiple Restoration,Covered up to Sum Insured,90 Days,180 Days,Single Private AC Room,No limit (Actual ICU Charges),All Procedures Covered,Guaranteed 100% increase yearly,Multiple restoration any illness,Absolutely Zero (Jumpstart),Up to 10% of SI,Covered up to Sum Insured,Included (Actual road),Included up to Sum Insured,Annual Health Assessment,Available up to 10 Lakhs,Available (Second opinion),Inbuilt Non-medical Items,Included Modern Med SI,Tatkal Benefit included,Included up to Sum Insured,24 Months,Yes
4,ManipalCigna,Pratham Plan,Not Applicable,Yes (Single Private room),Included (Standard),Included (Guaranteed Increase),Guaranteed 100% p.a.,Multiple Restoration,Covered up to Sum Insured,90 Days,180 Days,Single Private AC Room,No limit (Actual ICU Charges),All Procedures Covered,Guaranteed 100% p.a. (Max 1000%),Multiple (for unrelated illnesses),36 Months (Sarathi reduces to 30d),Included up to Sum Insured,Included up to Sum Insured,Included (Actual road),Included up to Sum Insured,Annual Health Assessment,Available as Option,Teleconsultations Inbuilt,Non-Medical cover included,Covered up to Sum Insured,Optional Surplus Benefit,Included up to Sum Insured,24 Months,Yes
4,ManipalCigna,Prime Senior (Elite),Not Applicable,Yes (Any Room),Included,Included (Shield),10% p.a. (Max 100%),Unlimited Restoration,Covered up to Sum Insured,60 Days,180 Days,Any Room,No capping,All Procedures,10% p.a. (Max 100%),Unlimited (Related/Unrelated),24 Months,Covered up to Sum Insured,Covered up to Sum Insured,Actual road ambulance,Covered up to Sum Insured,Annual Adults,10 Lakh Range domestic,Expert consultations,Included Option,Modern treatments included,Waiver of Premium on CI,Included up to SI,24 Months,Trigger after 1st Claim
4,ManipalCigna,Prime Senior,Not Applicable,No (Single Private),Included,Included (Shield),10% p.a. (Max 100%),Unlimited Restoration,Covered up to Sum Insured,60 Days,180 Days,Single Private Room,No capping,All Procedures,10% p.a. (Max 100%),Unlimited (Related/Unrelated),24 Months,Covered up to Sum Insured,Covered up to Sum Insured,Actual road ambulance,Covered up to Sum Insured,Annual Adults,Not Available,Expert consultations,Included Option,Modern treatments included,Waiver of Premium on CI,Included up to SI,24 Months,Trigger after 1st Claim
5,HDFC Ergo,Optima Restore,Not Applicable,Yes (No room capping),Available (Rider),Available (Add-on),50% per year,100% Restore Benefit,Covered up to Sum Insured,60 Days,180 Days,Single Private Room,No limit (Actuals),All Procedures included,Bonus 50% each year (max 100%),100% restore triggers instantly,36 Months,Covered up to Sum Insured,Covered up to Sum Insured,Actual road/air charges,Actual donor charges,Once every renewal (Age 18+),Up to 2.5 Lakh Range,Included (Expert opinion),Add-on protector,Included (Modern methods),Stay active discount 8%,Included up to SI,24 Months,Included
5,HDFC Ergo,Optima Secure,Not Applicable,Yes (Any room),Included (Protect Benefit),Included (Secure Benefit),100% bonus after year 2,Unlimited Restoration,Covered up to Sum Insured,60 Days,180 Days,No Capping (All Rooms),Actual ICU charges covered,All day care included,100% (after year 2),Unlimited (Related and Unrelated),36 Months,Covered up to Sum Insured,Included AYUSH Benefit,Actual road costs covered,Covered up to Sum Insured,Annual check-up (from day 1),Available up to 5 Lakhs,Inbuilt Expert Opinion,Inbuilt Protect Benefit,Included (Robotic surg SI),Secure logic (2X cover day 1),Included up to SI,24 Months,Yes
6,Chola MS,Flexi Retail Health,Not Applicable,No (Sublimits apply),Available (Add-on Rider),Available (Add-on Rider),10% p.a. (Max 50%),100% Restoration,Covered up to Sum Insured,30 Days,60 Days,Category Sublimits Apply,Covered up to SI,All procedures covered,10% per claim free year,100% restore (Unrelated),36 Months,Included (Domiciliary),Included (AYUSH SI limit),Up to 2000 per hospitalization,Included within base SI,Once every 2 claim free years,Not Covered,Available International,Waiver add-on available,Covered for Modern procedures,SI Booster for Road Accident,Not Covered,24 Months,Included
6,Chola MS,Flexi Health Supreme (Plus),Not Applicable,No (Private Single Room),Included (Standard),Included (Guaranteed bonus),25% p.a. (Max 100%),Unlimited Restoration,Covered up to Sum Insured,90 Days,120 Days,Single Private Room,Actual ICU charges covered,Included up to SI,25% Bonus Every Year (Max 100%),Unlimited Restoration (100% Reload),36 Months,Included (Domiciliary),Included (AYUSH SI),2000 Road Hospitalization trip,Included up to SI,Annual once a year (Age 18+),Available worldwide,Domestic opinion inbuilt,Inbuilt Claim Protector,Covered (Modern procedures SI),Road accident extra SI,Included travel benefit,24 Months,Included
6,Chola MS,Flexi Health Supreme (Premier),Not Applicable,Yes (Any room),Included (Standard),Included (Guaranteed bonus),50% p.a. (Max 200%),Unlimited Restoration,Covered up to Sum Insured,60 Days,120 Days,Any Category (No rent capping),No Limit (Actual ICU),Included up to SI,Guaranteed 50% yearly (Max 200%),Unlimited Restoration (100% Reload),36 Months,Included (Domiciliary),Included (AYUSH SI),Actual Road ambulance charges,Included up to SI,Annual once a year (Age 18+),Available up to 500000,Domestic opinion inbuilt,Inbuilt Claim Protector,Covered up to SI,Double coverage surplus SI,Included SI limit,24 Months,Unlimited
7,Star Health,Family Health Optima,Not Applicable,No (Single AC Room),Not Inbuilt,Not Available,10% p.a. (Max 100%),3 Restoration Triggers,Covered up to Sum Insured,60 Days,90 Days,Single Standard A/C Room,No Capping on actual ICU,All Procedures included,10% yearly increase (Max 100%),Restore Triggers (3X per policy yr),48 Months,Included wait 3 days,AYUSH limit up to 20k,Road limit up to 750,Lesser of 10% SI or 1L,Once annually after renewal,Available (SI > 5L),Inbuilt e-medical opinion,Rider Available,Covered up to SI,Wellness Discount points,Included range,24 Months,Included
7,Star Health,Star Health Assure Insurance Policy,Not Applicable,No (Standard Single Room),Included (Standard),Included (Bonus logic),25% p.a. (Max 100%),Unlimited Restoration,Covered up to Sum Insured,60 Days,180 Days,Single Standard A/C room,No capping actual charges,Included up to Sum Insured,25% p.a. Max increase 100%,Unlimited (Related/Unrelated),36 Months,Up to 10% SI,Included within SI,Actual road expenses (Network),Covered up to Sum Insured,Every year from day 1,Domestic available up to 5L range,Domestic opinion inbuilt,Inbuilt Claim Protector,Included for Robotic SI,Renewal discount points up to 20%,Included SI,24 Months,Included
7,Star Health,Star Comprehensive,Not Applicable,Yes (No room capping),Included,Included (Add-on options),100% bonus (after claim free yr),100% Restoration,Covered up to Sum Insured,60 Days,90 Days,Single Standard A/C Room,Actual ICU charges covered,All day care treatments covered,Bonus 100% in claim free year,100% Restoration of Sum Insured,36 Months,Included (after 3 days),Included within SI,Actual Road ambulance costs,Covered up to Sum Insured,Annual from Inception,Available up to 2.5L,Expert Medical opinion,Included as standard,Included up to Sum Insured,Star Extra Protect add-on,Available SI dependent,24 Months,Trigger after usage
7,Star Health,Young Star,Not Applicable,No (Single AC Room),Not Inbuilt,Not Available,20% p.a. (Max 100%),Automatic Restoration,Covered up to Sum Insured,60 Days,90 Days,Single Private A/C Room,Actual ICU included,All day care procedures,20% bonus yearly increase 100%,Automatic Restoration logic,12 Months,Not Included,Covered within SI,Actual costs covered road,Covered up to Sum Insured,Once in 2 years,Not Covered,Inbuilt Expert Opinion,Included Non-medical Protector,Robotic and robotic med included,Road accident extra SI (25%),Not Included,12 Months,Yes
8,Tata General Insurance,Medicare,Not Applicable,Yes (Grid capping),Available (Rider),Available (Add-on),10% p.a. (Max 100%),100% Restoration,Covered up to Sum Insured,30 Days,60 Days,Room as specified in grid,No Limit (Actuals),All day care procedures,10% accumulation max 100%,100% Restoration benefit,36 Months,Included (At-home advice),Included within SI limit,2000 per Hospitalization trip road,Included up to SI,Every block of 2 policy years,Not Available,Inbuilt e-medical advice,Add-on rider available,Modern Treatment up to Sum Insured,NCB Super available,Included range,24 Months,Included
8,Tata General Insurance,Medicare Premier,Not Applicable,Yes (Any room category),Included (Standard),Included (Shield multiplier),50% bonus p.a. (over 2 yrs),Unlimited Restorations (3X per yr),Covered up to Sum Insured,90 Days,90 Days,Any Room category covered,Actual ICU charges covered,All procedures (after 2 hour hosp),Guaranteed bonus 100%,Automatic restore up to original SI,24 Months (Sum Insured dependent),Included (5% SI max),Covered AYUSH within SI limit,Actual road costs covered,Covered up to Sum Insured,Annual check-up Adults,Available globally (5L range),Global/Expert consult included,Protector benefit included,Robotic surgery included up to SI,Surplus logical cover,Available recover benefit,24 Months,Unlimited
9,Reliance Health Insurance,Health Infinity,Not Applicable,Yes (All category room),Included (Standard),Included (NCB Accumulator),33.33% Bonus p.a.,Unlimited Restoration,Covered up to Sum Insured,90 Days,180 Days,No Capping (All Rooms),Actual ICU Charges (No limit),Included up to Sum Insured,33.33% increase (max 100%),Unlimited Restoration Benefit,36 Months,Included within base SI,Covered up to SI (AYUSH),Actual Road expenses,Included up to Sum Insured,Annual adults from inception,Up to 5 Lakh Domestic,Expert consultation available,Inbuilt Claim Protector Shield,Modern procedures up to SI,Extra logic multiplier (3X),Included (Sum Insured limit),24 Months,Included
9,Reliance Health Insurance,Health Gain,Not Applicable,No (Standard private room),Available (Rider),Not Available,33.33% Bonus p.a.,Unlimited Restoration (unrelated),Covered up to Sum Insured,60 Days,90 Days,Single Standard Private AC Room,No limit (Actual ICU Charges),Included up to Sum Insured,Bonus logic max 100%,Unlimited restoration triggers,36 Months,Included within base SI,Covered within SI (AYUSH limit),1500 per Trip Road Ambulance,Included up to Sum Insured,Up to 3000 limit annually,Available Air (domestic),Inbuilt consultations expert,Optional Rider Protector,Modern procedures up to SI,Extra logical cover SI,Included range,24 Months,Yes
10,Magma Hdi,Support,Not Applicable,No (Capped 1% SI),Included (Standard),Included (Standard logic),10% p.a. (Max 50%),Unlimited recharge,Covered up to Sum Insured,30 Days,60 Days,Capped at 1% SI / Room Rent,Capped at 2% SI / ICU rent,Included within base SI limit,10% increase max 50%,Unlimited (usage triggered),48 Months,No Limit (within SI),Covered within SI limit,Up to 2000 per hosp road,No coverage road,Annual age 26+ renewal,Not Available,Not Available,Available as option,Included Modern treatments,NCB सुपर available,Included SI dependent,2 Years,Included
10,Magma Hdi,Secure Plan,Not Applicable,No (Private Single Room),Included (Standard),Included (Bonus Logic),10% p.a. (Max 50%),100% Recharge Benefit,Covered up to Sum Insured,30 Days,60 Days,Single private Room category,Actual ICU Charges (Covered),Included within base SI limit,10% yearly max 50%,Usage Trigger recharge,36 Months,Covered up to SI (at home),Covered within SI limit,Road up to 2500 trip hosp,Included up to SI,Annual check-up Adults,Domestic limit (up to 2L),expert consulatation,Available (Protector Option),Modern Treatment up to SI,Companion cash 5000,Available up to SI,2 Years,Included
10,Magma Hdi,Support Plus,Not Applicable,Yes (No room rent cap),Included (Standard),Included (Multiplier logic),10% p.a. (Max 50%),Unlimited Auto-recharge,Covered up to Sum Insured,30 Days,60 Days,Any room rent covered,Actual ICU charges covered,Included within base SI limit,10% yearly max 50%,Unlimited Usage Reload,36 Months,Covered up to SI (at home),Covered within SI limit,Actual road ambulance trip,Included up to Sum Insured,Annual check-up,Not Available,Inbuilt e-medical opinion,Available option inbuilt,Included Modern Treatment,Booster logic surplus,Included up to Sum Insured,2 Years,Included
10,Magma Hdi,Shield,Not Applicable,Yes (No room rent cap),Included (Standard),Included (Shield Option),20% Increase max 100%,Unlimited Recharge,Covered up to Sum Insured,60 Days,90 Days,Any room category,Actual charges covered,Included within base SI limit,20% Yearly max 100%,Unlimited Reload benefit SI,36 Months,Covered within SI (Domiciliary),Included (AYUSH within limit),7500 Road hosp trip,Included up to SI,Annual Health Assessment,Not Available,Inbuilt expert consult,Inbuilt protector Shield,Included up to Sum Insured,NCB सुपर SI,Available limit SI,2 Years,Included
10,Magma Hdi,Premium,Not Applicable,Yes (Any Room),Included (Standard),Included (NCB multiplier),33.3% Bonus (Max 100%),Unlimited (trigger Usage),Covered up to Sum Insured,60 Days,90 Days,Any category Room,Actual ICU charges covered,All Procedures (up to SI),33.3% increase p.a.,Unlimited recharge (trigger usage),24 Months,Included up to SI (home treat),Included within SI limit,Up to 10000 road trip hosp,Included up to Sum Insured,Annual Adults renewal,Domestic 1 Lakh Limit range,Inbuilt consultations global,Available as Add-on Option,Modern Technology up to SI,Recovery Lumpsum,Included Recovery logic,2 Years,Included
11,Bajaj Allianz,Health Guard- Gold Plan,Not Applicable,No (Private Single Room),Not Inbuilt,Available (Add-on rider),10% p.a. (Max 100%),100% Reinstatement benefit,Covered up to Sum Insured,60 Days,90 Days,Single Standard A/C room,Actual ICU charges (no limit),Included (within SI limits),10% yearly max 100%,Reload (Related/Unrelated usage),36 Months,Wait period 3 days home care,Included within SI (AYUSH),20000 Road Hospitalization trip,Included up to Sum Insured,Annual Check-up inception,Up to 2L Domestic,Second Opinion available,No Coverage road,Included (Robotic up to SI),Wellness Point Discount,Included SI dependent,24 Months,Included
